        x              y       Side   Disk   Ring   Module
      -2.254         6.3949      1      9      1      6
      -2.22557      6.14261      1      9      1      6
      -2.82844      9.59484      1      9      1      6
      -2.63466      8.34836      1      9      1      6
      -2.6555       8.41601      1      9      1      6
      -2.6743        8.1576      1      9      1      6
      -2.60041      6.85361      1      9      1      6
      -2.50074      6.20039      1      9      1      6
      -2.59932      6.78282      1      9      1      6
      -2.82352       8.1664      1      9      1      6
      -2.67379      7.05485      1      9      1      6
      -3.10821      9.63162      1      9      1      6
      -2.59855      6.30654      1      9      1      6
      -2.78152      7.34187      1      9      1      6
      -2.6435       5.97506      1      9      1      6
      -1.89946      7.43893      1      9      1      7
      -1.83006      7.26744      1      9      1      7
      -3.27451      10.0709      1      9      1      7
      -1.40923      6.39195      1      9      1      7
      -1.9173       7.26794      1      9      1      7
      -1.82104       6.9799      1      9      1      7
      -3.31295      9.89397      1      9      1      7
      -1.55818      6.30982      1      9      1      7
      -2.62035      8.31424      1      9      1      7
      -2.6755       8.37603      1      9      1      7
      -3.46104      9.60502      1      9      1      7
      -1.75227      6.21717      1      9      1      7
      -2.84932      8.32804      1      9      1      7
      -2.88959      8.16582      1      9      1      7
      -2.25833      6.56607      1      9      1      7
      -2.76977       7.3055      1      9      1      7
      -2.9538       7.66118      1      9      1      7
      -2.7055       7.10229      1      9      1      7
      -3.62119      8.88653      1      9      1      7
      -2.57647      6.83095      1      9      1      7
      -2.99398      7.65194      1      9      1      7
      -3.56538      8.75409      1      9      1      7
      -2.57966      6.75067      1      9      1      7
      -2.22691       5.9978      1      9      1      7
      -3.07233      7.48632      1      9      1      7
      -2.55155      6.23689      1      9      1      7
      -2.854        6.73449      1      9      1      7
      -2.89927      6.72265      1      9      1      7
      -3.98817      8.84205      1      9      1      7
      -3.03509      6.92312      1      9      1      7
      -2.62244      5.95357      1      9      1      7
      -3.53566       7.7018      1      9      1      7
      -2.7357       5.88463      1      9      1      7
      -3.47432      7.30608      1      9      1      7
      -4.49295      8.92193      1      9      1      7
      -2.90979      5.80716      1      9      1      7
      -3.41958      6.59005      1      9      1      7
      -3.69304      6.96991      1      9      1      7
      -4.55168       8.3302      1      9      1      7
      -4.60164      8.39062      1      9      1      7
      -3.27538      5.65459      1      9      1      7
      -3.42865      5.90923      1      9      1      7
      -3.95162      6.89433      1      9      1      7
      -4.81474      8.31976      1      9      1      7
      -5.1884       8.99081      1      9      1      7
      -3.63948      5.87358      1      9      1      7
      -3.98437      6.48438      1      9      1      7
      -3.77965      5.94823      1      9      1      7
      -4.90255      8.01659      1      9      1      7
      -4.72803      7.45381      1      9      1      7
      -4.84062      7.64364      1      9      1      7
      -5.3521       8.47294      1      9      1      7
      -4.60092      6.94553      1      9      1      7
      -4.94145      7.56979      1      9      1      7
      -5.02316      7.64052      1      9      1      7
      -5.11835      7.71562      1      9      1      7
      -4.39459      6.26413      1      9      1      7
      -4.08262      5.63093      1      9      1      7
      -4.58827      6.60609      1      9      1      7
      -4.6164        6.6455      1      9      1      7
      -5.29558      7.93992      1      9      1      7
      -4.46774      6.23809      1      9      1      7
      -4.05358      5.40415      1      9      1      7
      -5.7344       8.66018      1      9      1      7
      -3.97716      5.16219      1      9      1      7
      -5.11579      7.32365      1      9      1      7
      -4.02533      5.18259      1      9      1      7
      -4.60469      6.24696      1      9      1      7
      -4.90947      6.81079      1      9      1      7
      -4.2472       5.23808      1      9      1      7
      -4.20263      4.97988      1      9      1      7
      -5.63658         7.71      1      9      1      7
      -4.49143      5.36083      1      9      1      7
      -4.6942       5.75191      1      9      1      7
      -4.58729      5.52006      1      9      1      7
      -4.50331      5.33231      1      9      1      7
      -5.22517      6.69488      1      9      1      7
      -4.47427      5.14485      1      9      1      7
      -3.29373      5.67955      1      9      1      8
      -4.61551      6.97707      1      9      1      8
      -5.1877       7.45261      1      9      1      8
      -3.65416      5.89961      1      9      1      8
      -3.79856      5.98175      1      9      1      8
      -5.66859      7.74774      1      9      1      8
      -5.28593      7.32606      1      9      1      8
      -4.63913      6.67029      1      9      1      8
      -4.61143      6.64135      1      9      1      8
      -4.36158      6.28239      1      9      1      8
      -4.5104       6.40803      1      9      1      8
      -5.96989      7.77478      1      9      1      8
      -3.6731       5.46554      1      9      1      8
      -5.85047      7.56855      1      9      1      8
      -5.7217       7.41793      1      9      1      8
      -4.58406      6.27228      1      9      1      8
      -6.55994      8.14916      1      9      1      8
      -4.09995      5.65912      1      9      1      8
      -5.24232      6.74669      1      9      1      8
      -4.06709      5.43004      1      9      1      8
      -5.76079      7.12021      1      9      1      8
      -5.66699      7.01579      1      9      1      8
      -5.65253      6.99309      1      9      1      8
      -4.04436      5.32535      1      9      1      8
      -5.32273      6.58134      1      9      1      8
      -6.5298       7.63962      1      9      1      8
      -4.7129       5.77533      1      9      1      8
      -5.5199       6.52576      1      9      1      8
      -4.2704       5.25505      1      9      1      8
      -6.72425      7.65755      1      9      1      8
      -4.57474      5.44625      1      9      1      8
      -4.91587       5.7281      1      9      1      8
      -6.54804      7.35237      1      9      1      8
      -4.54931      5.34426      1      9      1      8
      -4.222        5.00613      1      9      1      8
      -6.20591      6.95459      1      9      1      8
      -4.49322      5.17381      1      9      1      8
      -5.28352       5.9551      1      9      1      8
      -6.87006      7.54005      1      9      1      8
